Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","004","Afghanistan","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","519122","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2018","2018","tonnes","14116.8","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2019","2019","tonnes","29782.84","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2020","2020","tonnes","20077","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","tonnes","261.99","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","tonnes","757.6","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4002","Ammonium sulphate","2020","2020","tonnes","913","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","470.4","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","7938.55","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","15886","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","11039","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","tonnes","15039.1","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","tonnes","25400","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2020","2020","tonnes","32677","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","381.31","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","543.98","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","tonnes","370","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2018","2018","tonnes","189.45","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2019","2019","tonnes","108.44","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2020","2020","tonnes","431","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4005","Sodium nitrate","2019","2019","tonnes","13.93","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","16196.67","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","8631","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4012","Superphosphates above 35%","2020","2020","tonnes","28085","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","35435.04","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","46520","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4001","Urea","2020","2020","tonnes","40810","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","tonnes","37774","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","tonnes","42192","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4002","Ammonium sulphate","2020","2020","tonnes","39777","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2018","2018","tonnes","128830","T","Unofficial figure"
