Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region1;NF;93;10271ce4-7d7e-11de-9ae2-0019e336be3a;3.97E-06;8.29E-07;1.69E-07;1.64E-06;3.64E-06;9.65E-07;2.07E-07;1.64E-06;3.68E-06;1.19E-06;2.40E-07;2.28E-06;3.81E-06;1.25E-06;2.57E-07;2.55E-06
Region2;Canada without Alberta and Quebec;345;ae9d0b20-e4e3-4cd3-9699-63eca5319c9b;1.06E-05;1.67E-06;7.55E-07;6.75E-06;8.43E-06;1.54E-06;7.00E-07;4.56E-06;5.75E-06;1.46E-06;5.79E-07;3.25E-06;5.24E-06;1.45E-06;4.78E-07;2.85E-06
Region3;Canada without Quebec;342;a4d7d7fd-94ae-4f44-91ba-53cd7f79bac4;1.15E-05;1.75E-06;8.25E-07;7.32E-06;9.05E-06;1.59E-06;7.65E-07;4.86E-06;5.91E-06;1.48E-06;6.18E-07;3.33E-06;5.33E-06;1.46E-06;5.03E-07;2.86E-06
Region4;North America without Quebec;343;aab06382-a476-4bec-a78b-d2fc0b849980;6.36E-05;6.02E-06;3.58E-06;3.01E-05;4.24E-05;4.30E-06;2.96E-06;1.62E-05;1.54E-05;2.36E-06;1.95E-06;6.35E-06;1.06E-05;2.03E-06;1.37E-06;3.36E-06
Region5;Europe, without Russia and Türkiye;341;c670b4a0-6051-4935-bafe-866736a010a9;0.000330012;3.34E-05;2.79E-05;2.38E-04;2.13E-04;2.12E-05;2.18E-05;1.12E-04;6.71E-05;8.14E-06;1.31E-05;3.03E-05;4.10E-05;5.77E-06;8.64E-06;7.20E-06
Region6;Europe without Austria;335;67c114d5-d361-4466-a5e7-fc21c498a254;2.33E-04;2.43E-05;2.00E-05;1.71E-04;1.52E-04;1.56E-05;1.59E-05;8.22E-05;4.86E-05;6.19E-06;9.61E-06;2.26E-05;3.01E-05;4.50E-06;6.32E-06;5.93E-06
Region7;US-MRO;319;6432879f-dc31-4e80-bc55-573f72dafee8;8.19E-05;7.97E-06;5.81E-06;5.00E-05;5.44E-05;5.46E-06;5.00E-06;2.80E-05;1.98E-05;2.77E-06;3.32E-06;9.68E-06;1.33E-05;2.29E-06;2.35E-06;3.87E-06
Region8;US-NPCC;327;50f826e7-ab13-444e-987b-180701b691c9;0.000363912;3.37E-05;2.50E-05;0.000237542;0.000234805;2.18E-05;1.99E-05;0.000121713;7.66E-05;8.36E-06;1.26E-05;3.47E-05;4.58E-05;5.88E-06;7.60E-06;7.86E-06
Region9;China w/o Inner Mongol;330;5874165e-031e-4e85-ab69-8c2ae6a1a970;0.000463749;3.90E-05;3.17E-05;2.38E-04;0.000293134;2.53E-05;2.52E-05;1.17E-04;8.33E-05;9.54E-06;1.51E-05;3.31E-05;4.86E-05;6.69E-06;9.53E-06;7.70E-06
